"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"130"	"mmu00030"	"75731"	"Idnk"	"Pentose phosphate pathway"
"131"	"mmu00030"	"83553"	"Tktl1"	"Pentose phosphate pathway"
"132"	"mmu00040"	"100559"	"Ugt2b38"	"Pentose and glucuronate interconversions"
"133"	"mmu00040"	"100727"	"Ugt2b34"	"Pentose and glucuronate interconversions"
"134"	"mmu00040"	"102448"	"Xylb"	"Pentose and glucuronate interconversions"
"135"	"mmu00040"	"110006"	"Gusb"	"Pentose and glucuronate interconversions"
"136"	"mmu00040"	"112417"	"Ugt2b37"	"Pentose and glucuronate interconversions"
"137"	"mmu00040"	"11677"	"Akr1b3"	"Pentose and glucuronate interconversions"
"138"	"mmu00040"	"11997"	"Akr1b7"	"Pentose and glucuronate interconversions"
"139"	"mmu00040"	"14187"	"Akr1b8"	"Pentose and glucuronate interconversions"
"140"	"mmu00040"	"16591"	"Kl"	"Pentose and glucuronate interconversions"
"141"	"mmu00040"	"20322"	"Sord"	"Pentose and glucuronate interconversions"
"142"	"mmu00040"	"216558"	"Ugp2"	"Pentose and glucuronate interconversions"
"143"	"mmu00040"	"22235"	"Ugdh"	"Pentose and glucuronate interconversions"
"144"	"mmu00040"	"22236"	"Ugt1a2"	"Pentose and glucuronate interconversions"
"145"	"mmu00040"	"22238"	"Ugt2b5"	"Pentose and glucuronate interconversions"
"146"	"mmu00040"	"231396"	"Ugt2b36"	"Pentose and glucuronate interconversions"
"147"	"mmu00040"	"243085"	"Ugt2b35"	"Pentose and glucuronate interconversions"
"148"	"mmu00040"	"394430"	"Ugt1a10"	"Pentose and glucuronate interconversions"
"149"	"mmu00040"	"394432"	"Ugt1a7c"	"Pentose and glucuronate interconversions"
"150"	"mmu00040"	"394433"	"Ugt1a5"	"Pentose and glucuronate interconversions"
"151"	"mmu00040"	"394434"	"Ugt1a9"	"Pentose and glucuronate interconversions"
"152"	"mmu00040"	"394435"	"Ugt1a6b"	"Pentose and glucuronate interconversions"
"153"	"mmu00040"	"394436"	"Ugt1a1"	"Pentose and glucuronate interconversions"
"154"	"mmu00040"	"552899"	"Ugt2a2"	"Pentose and glucuronate interconversions"
"155"	"mmu00040"	"58810"	"Akr1a1"	"Pentose and glucuronate interconversions"
"156"	"mmu00040"	"66646"	"Rpe"	"Pentose and glucuronate interconversions"
"157"	"mmu00040"	"67861"	"Akr1b10"	"Pentose and glucuronate interconversions"
"158"	"mmu00040"	"67880"	"Dcxr"	"Pentose and glucuronate interconversions"
"159"	"mmu00040"	"68631"	"Cryl1"	"Pentose and glucuronate interconversions"
"160"	"mmu00040"	"71755"	"Dhdh"	"Pentose and glucuronate interconversions"
"161"	"mmu00040"	"71773"	"Ugt2b1"	"Pentose and glucuronate interconversions"
"162"	"mmu00040"	"72094"	"Ugt2a3"	"Pentose and glucuronate interconversions"
"163"	"mmu00040"	"75847"	"Ispd"	"Pentose and glucuronate interconversions"
"164"	"mmu00040"	"94215"	"Ugt2a1"	"Pentose and glucuronate interconversions"
"165"	"mmu00040"	"94284"	"Ugt1a6a"	"Pentose and glucuronate interconversions"
"166"	"mmu00051"	"110119"	"Mpi"	"Fructose and mannose metabolism"
"167"	"mmu00051"	"11674"	"Aldoa"	"Fructose and mannose metabolism"
"168"	"mmu00051"	"11676"	"Aldoc"	"Fructose and mannose metabolism"
"169"	"mmu00051"	"11677"	"Akr1b3"	"Fructose and mannose metabolism"
"170"	"mmu00051"	"11997"	"Akr1b7"	"Fructose and mannose metabolism"
"171"	"mmu00051"	"14120"	"Fbp2"	"Fructose and mannose metabolism"
"172"	"mmu00051"	"14121"	"Fbp1"	"Fructose and mannose metabolism"
"173"	"mmu00051"	"14187"	"Akr1b8"	"Fructose and mannose metabolism"
"174"	"mmu00051"	"15275"	"Hk1"	"Fructose and mannose metabolism"
"175"	"mmu00051"	"15277"	"Hk2"	"Fructose and mannose metabolism"
"176"	"mmu00051"	"16548"	"Khk"	"Fructose and mannose metabolism"
"177"	"mmu00051"	"170768"	"Pfkfb3"	"Fructose and mannose metabolism"
"178"	"mmu00051"	"18639"	"Pfkfb1"	"Fructose and mannose metabolism"
"179"	"mmu00051"	"18640"	"Pfkfb2"	"Fructose and mannose metabolism"
"180"	"mmu00051"	"18641"	"Pfkl"	"Fructose and mannose metabolism"
"181"	"mmu00051"	"18642"	"Pfkm"	"Fructose and mannose metabolism"
"182"	"mmu00051"	"20322"	"Sord"	"Fructose and mannose metabolism"
"183"	"mmu00051"	"212032"	"Hk3"	"Fructose and mannose metabolism"
"184"	"mmu00051"	"216019"	"Hkdc1"	"Fructose and mannose metabolism"
"185"	"mmu00051"	"218138"	"Gmds"	"Fructose and mannose metabolism"
"186"	"mmu00051"	"21991"	"Tpi1"	"Fructose and mannose metabolism"
"187"	"mmu00051"	"22122"	"Tsta3"	"Fructose and mannose metabolism"
"188"	"mmu00051"	"225913"	"Tkfc"	"Fructose and mannose metabolism"
"189"	"mmu00051"	"230163"	"Aldob"	"Fructose and mannose metabolism"
"190"	"mmu00051"	"234730"	"Fuk"	"Fructose and mannose metabolism"
"191"	"mmu00051"	"270198"	"Pfkfb4"	"Fructose and mannose metabolism"
"192"	"mmu00051"	"29858"	"Pmm1"	"Fructose and mannose metabolism"
"193"	"mmu00051"	"319801"	"Tigar"	"Fructose and mannose metabolism"
"194"	"mmu00051"	"331026"	"Gmppb"	"Fructose and mannose metabolism"
"195"	"mmu00051"	"353204"	"Aldoart1"	"Fructose and mannose metabolism"
"196"	"mmu00051"	"54128"	"Pmm2"	"Fructose and mannose metabolism"
