"","INT:C079.mzML","INT:C080.mzML","INT:C081.mzML","INT:C083.mzML","INT:C084.mzML","INT:C103.mzML","INT:C105.mzML","INT:C123.mzML","INT:C135.mzML","INT:C137.mzML","INT:C141.mzML","INT:C145.mzML","INT:C149.mzML","INT:C155.mzML","INT:C176.mzML"
"DAG(32:1)",0.26433943589955,0.299458697939455,0.422620927015143,0.35539285918334,0.364289744607686,0.374672189413912,0.291106293113782,0.429882321905012,0.475735855171664,0.310467153738608,0.868660652557214,0.348646972846373,0.207754377867107,0.180676743552745,0.330333978642136
"DAG(32:0)",1.38493184045442,1.27373249886705,1.53478652975071,1.52222571360611,13.6119463298165,7.98038379268143,2.17849753092271,0.955328537743486,1.68036095097851,1.98044598567619,2.057347365176,2.69212937330868,1.05791151980504,0.8186741984021,4.17173829901013
"DAG(34:2)",0.173348287590073,0.21724189489323,0.32782358308502,0.320584217789383,0.238039975948082,0.238165051524151,0.217127364620992,0.22887615459974,0.321694941503057,0.234778464133544,0.323661310499909,0.224197931371714,0.23673219437739,0.285850212671104,0.227413298161062
"DAG(34:1)",0.465151584489534,0.481758774338083,0.96116811413418,0.762733182901041,0.524334363694201,0.563151899573486,0.448453704807603,0.60079347552569,1.13368774897349,0.574436160897163,1.08293646121514,0.753946713964352,0.504879915956561,0.552233457287564,0.502604732495692
"DAG(34:0)",1.82175925785571,1.54658167273256,3.00775159064251,1.80781663883423,36.9076196952961,15.2624465893684,3.75267743889914,1.38179890059962,2.12616623964034,3.02898519366337,2.98887097108681,3.98021462587626,1.81859364886342,1.01671989615557,7.57058640334694
"DAG(36:4)",0.00478709614964597,0.0543075792328988,0.0532716016639787,0.0672439701139953,0.0758868254089834,0.0596212398480751,0.0693317361498131,0.0198604424763596,0.0202476550097672,0.0271441919350218,0.019120425027099,0.0123161644631505,0.0325529599095947,0.13058981579539,0.064318058572936
"DAG(36:3)",0.054220009526949,0.0924442904214153,0.101475746239866,0.135336558844924,0.0994618635825931,0.0842428967462081,0.108987672600118,0.0951167673422962,0.120939235177568,0.063273642417311,0.0997638186624466,0.0411810196762401,0.0573210243559719,0.271683015993526,0.0958949618391948
"DAG(36:2)",0.190797509885255,0.187228449459915,0.477664255107048,0.381084321690454,0.247530938287357,0.178381629850826,0.259625162955611,0.272573057794,0.396557123075776,0.282428128023166,0.384621189666858,0.177073791133419,0.613263069411457,0.283062907513139,0.215371754322436
"DAG(36:1)",0.10757070477012,0.144540938006462,0.278035395927507,0.257456204531031,0.246418524134829,0.205307219205306,0.174049375530891,0.134149425506712,0.308161634449545,0.176668740967042,0.291297922045352,0.248006178528158,0.160558902601466,0.135094635264691,0.189065715888068
"DAG(36:0)",0.903686243772148,0.803859053722993,2.43390622998551,1.23752623614144,21.9128372225982,8.70957482836848,2.03621210415662,0.828739272982891,1.20528256258748,1.93863876800887,1.69772711896566,2.8434204774366,1.18500114135325,0.743449977596429,4.21399095132873
"DiHexCer(d18:1/16:0)",0.284624337328814,0.352181424076275,0.162762749013317,0.237993557135181,0.345693495087334,0.342206795419844,0.355766868387173,0.234301948024322,0.370770696337342,0.164391007002426,0.199363446651185,0.273299462026944,0.212381194804527,0.194950520167016,0.348922800314216
"DiHexCer(d18:1/24:1)",0.332454828864616,0.317993812239688,0.264603872844371,0.190473503950132,0.491793332972222,0.348690906095281,0.448849403319688,0.316876514384112,0.504325605633423,0.157745292683818,0.245081020597017,0.233761434529507,0.323018873038077,0.201872942218615,0.395690902335779
"DiHexCer(d18:1/24:0)",0.244756694738421,0.320047312560671,0.295327282445867,0.204104076439645,0.352005955505574,0.373974578544315,0.301164070284364,0.300021134772953,0.4561914330913,0.133855977064727,0.198730830916586,0.314228155590499,0.346724896323708,0.15360441084997,0.335657478937708
"HexCer(d18:1/16:0)",0.803723247515433,0.556583586920186,0.494409661740459,0.432049808486671,0.613502768428997,0.689104951015127,0.495312449122569,0.674304298591037,1.72389536554015,0.266302987216997,0.505264209717885,0.632623864892654,0.437717592996807,0.558864256299309,0.584362208582584
"HexCer(d18:1/18:0)",0.116669468455346,0.0459337718406245,0.0306379748943525,0.037935950279654,0.0298002196369731,0.0265765421674966,0.0508635008248393,0.056843058237945,0.0844547771191676,0.0483256536849732,0.0462859880705532,0.00290888608295628,0.168238965277108,0.0945772567738777,0.03718237387395
"HexCer(d18:1/22:0)",0.667748636433184,0.492328795890108,0.452891932791103,0.26875482690645,0.205859158421275,0.398688501822268,0.255317645708482,0.512308029245338,1.12542548177719,0.257793172312809,0.464072428105114,0.512473327909955,0.328002308167366,0.370038562573118,0.319290557307085
"HexCer(d18:1/24:1)",1.20891419640739,0.856015418413595,1.04131469597317,0.527977782396349,0.757057293624678,0.856158992137457,0.756930146907896,0.97088955457715,2.19798422353245,0.529853513812362,0.933689659768185,0.710502222005856,0.747403850047133,0.981655868018372,0.805035853865077
"HexCer(d18:1/24:0)",1.29832117821958,0.968024074985322,1.1956370284361,0.806261392804879,0.850327639154903,1.32926576551066,0.618270478599107,1.25110663823309,2.24641774896583,0.633621427379274,0.952880084325782,1.63807886373824,0.949750867520281,0.807757176329297,0.907290108672703
"LPC(16:2)",0.084624568041794,0.075894461835953,0.0874637804052432,0.0820551638747622,0.0585922023914728,0.07170694299041,0.0621075846791849,0.0867182002720272,0.139523080616879,0.0647182853375675,0.101763877978249,0.0983870355242098,0.0771501748542744,0.0602636468345646,0.0667573469484083
"LPC(16:1)",0.581401611202779,0.316554802800258,0.189867330610486,0.583865744564227,0.3512019705237,0.254379724483928,0.436147065497082,0.279003946250816,0.461299419800281,0.531220116413465,0.399605381312127,0.759705965120908,0.234881904302579,0.358990836910834,0.33344175380322
"LPC(16:0)",14.7781432786967,2.93749807315326,2.83297539808117,8.73473079253217,6.44949109700801,4.07064202846196,4.65577009921105,5.25814500739556,14.7965515251397,7.49476515988884,7.88333337967105,12.7851819716806,4.01268213730255,5.54157800147345,4.35340893820207
